local_name,tourist_spot,address,tourist_type
창원시,3.15 해양누리공원,창원시 마산합포구 월남동1가 46-4,park
창녕군,우포늪 생태체험장,창녕군 대합면 우포2로 370,experience
고성군,그레이스 정원,고성군 상리면 동산리 797-1,park
하동군,지리산국립공원,하동군 화개면 대성리 511-1,park
함양군,상림공원,함양군 함양읍 팔봉산길 49,park
의령군,호국공원,의령군 의령읍 중동리 164 일원,park
거창군,황금원숭이마을,거창군 워천면 상천리 282-2,village
남해군,독일마을,남해군 삼동면 물건리 1074-2,village
산청군,남사예담촌,산청군 단성면 지리산대로 2897번길 10,village
진주시,진주성,진주시 남강로 626(본성동),palace
밀양시,영남루,밀양시 중앙로 324(내일동),palace
함안군,함안수박축제,함안군 가야읍 도항리 249-52,experience
통영시,사량대교,통영시 사량면 금평리,bridge
사천시,사천바다케이블카,사천시 대방동 688,experience
김해시,김해한글박물관,김해시 분성로 221(외동),museum
양산시,한국궁중꽃박물관,양산시 매곡외산로 242(매곡동),museum
합천군,대장경테마파크,합천군 가야면 가야산로 1160,experience
거제시,거제맹종죽테마파크,경상남도 거제시 하청면 거제북로 700,experience
영천시,임고강변공원,영천시 임고연 덕연리,park
경산시,삼성현 역사문화공원,경산시 남산면 삼성현공원로 59,park
영양군,반딧불이생태공원,영양군 수비면 수하리 255-1번지외 652필지,park
구미시,구미 에코랜드,구미시 산동면 인덕1길 195,experience
문경시,단산 모노레일,문경시 문경읍 활공장길 106,experience
청도군,청도레일바이크,청도군 청도읍 하지길 46-51(신도리48-2),experience
김천시,자산동 벽화마을,김천시 자산동,village
군위군,화산마을(화산산성),군위군 삼국유사면 화북리 산 230,village
영덕군,차유어촌체험마을,영덕군 축산면 차유길 12-4,village
포항시,이가리 닻전망대,포항시 북구 청하면 이가리 산67-3,experience
울릉군,행남 해안산책로,울릉군 울릉읍 도동리,street
경주시,불국사 박물관,경주시 불국로 385,museum
안동시,하회세계탈박물관,안동시 풍천면 전서로 206,museum
영주시,인삼박물관,영주시 풍기읍 죽령로 1378,museum
의성군,조문국 박물관,경상북도 의성군 금성면 초전1길 83,museum
고령군,대가야박물관,고령군 대가야읍 대가야로 1203,museum
상주시,경천섬,상주시 중동면 오상리 968-1,island
청송군,청송 주산지 일원,청송군 주왕산면 주산지리 산41-1,nature
울진군,등기산 스카이워크,울진군 후포면 등기산길 29,bridge
성주군,참외체험형테마공원,성주군 성주읍 참별로 2479,park
칠곡군,꿀벌나라 테마공원,칠곡군 석적읍 강변대로 1580-1,park
예천군,예천곤충생태체험관,예천군 효자면 고향리 608,experience
봉화군,봉화목재문화체험장,봉화군 봉성면 구절로 151,experience
