local_name,tourist_spot,address,tourist_type
철원군,고석정꽃밭,강원 철원군 동송읍 태봉로 1769,field
원주시,원주소금산출렁다리,강원 원주시 지정면 소금산길 12,bridge
정선군,병방치스카이워크,강원 정선군 정선읍 병방치길 225,bridge
삼척시,환선굴,강원 삼척시 신기면 환선로 800 대이동굴관리소,island
춘천시,남이섬,강원 춘천시 남산면 남이섬길 1,nature
동해시,논골담길,강원 동해시 논골1길 2,street
태백시,구와우마을,강원 태백시 황지동 287-22,village
평창군,대관령양떼목장,강원 평창군 대관령면 대관령마루길 483-32 대관령양떼목장,experience
고성군,아야진해수욕장,강원 고성군 토성면,ocean
속초시,영금정 ,강원 속초시 영금정로 43,temple
양양군,하조대해수욕장,강원 양양군 현북면 하광정리,ocean
강릉시,경포해변,강원 강릉시 강문동 산1-1,ocean
양구군,두타연,강원 양구군 방산면 두타연로 297,valley
인제군,속삭이는자작나무숲,강원 인제군 인제읍 자작나무숲길 760 자작나무숲 안내소,nature
홍천군,홍천은행나무숲,강원 홍천군 내면 광원리 686-4,nature
횡성군,국립청태산자연휴양림,강원 횡성군 둔내면 청태산로 610,arboretum
화천군,조경철천문대,강원 화천군 사내면 천문대길 431,experience
영월군,별마로천문대,강원 영월군 영월읍 천문대길 397,experience
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
