local_name,tourist_spot,address,tourist_type
동구,배다리 헌책방 골목,인천광역시 동구 금곡로 3 (금곡동),street
중구,월미문화의거리,인천광역시 중구 월미로 252 (북성동1가),street
미추홀구,인천향교,인천광역시 미추홀구 매소홀로 589 (문학동),bridge
강화군,강화도제적봉 평화전망대,인천광역시 강화군 양사면 전망대로 797 (양사면),experience
옹진군,장경리 해수욕장,인천광역시 옹진군 영흥면 영흥로757번길 6,ocean
계양구,계양꽃마루,인천광역시 계양구 서운동 106-1번 일원 (계양경기장 양궁장 뒤) (서운동),park
부평구,원적산공원 은행나무숲,인천광역시 부평구 산곡1동 80-22 ,park
연수구,송도센트럴파크,인천광역시 연수구 컨벤시아대로 160 ,experience
남동구,늘솔길공원양떼목장,인천광역시 남동구 앵고개로815번길 59 (논현동),experience
서구,인천어린이천문대,인천광역시 서구 원당대로 454-14 (왕길동),experience
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
