local_name,tourist_spot,address,tourist_type
서대문구,이대거리,서울특별시 서대문구 대현동 (대현동),street
용산구,남산 서울타워,서울특별시 용산구 남산공원길 105 ,experience
강북구,북서울 꿈의숲,서울특별시 강북구 월계로 173 ,nature
광진구,아차산생태공원,서울특별시 광진구 워커힐로 127 ,park
도봉구,서울창포원,서울특별시 도봉구 마들로 916 ,park
서초구,매헌 시민의숲,서울특별시 서초구 매헌로 99 (양재동),nature
송파구,방이동 생태경관 보전지역,서울특별시 송파구 동남로 397 (방이동),nature
중랑구,용마폭포공원,서울특별시 중랑구 용마산로 250-12 (면목동),park
강서구,서울식물원,서울특별시 강서구 마곡동로 161 (마곡동),aboretum
관악구,관악산 낙성대공원,서울특별시 관악구 낙성대로 77 ,park
동작구,보라매공원,서울특별시 동작구 여의대방로20길 33 ,park
종로구,마로니에공원,서울특별시 종로구 대학로 104 ,park
성북구,서울 의릉,서울특별시 성북구 화랑로32길 146-20 (석관동),palace
중구,숭례문,서울특별시 중구 세종대로 40 ,palace
노원구,서울시립 북서울미술관,서울특별시 노원구 동일로 1238 (중계동),museum
성동구,성수미술관,서울특별시 성동구 성수동2가 289-14 ,museum
강동구,암사선사유적박물관,서울특별시 강동구 올림픽로 875 (암사동),museum
동대문구,세종대왕박물관,서울특별시 동대문구 회기로 56 (청량리동),museum
강남구,일상비일상의틈,서울특별시 강남구 강남대로 426 (역삼동),museum
구로구,G밸리 4차산업체험관,"서울특별시 구로구 디지털로26길 111 (구로동), B1층",experience
금천구,금나래아트홀,서울특별시 금천구 시흥대로73길 70 금천구청종합청사 ,experience
마포구,코코넛박스,서울특별시 마포구 서교동 357-1,experience
양천구,국제선센터,서울특별시 양천구 목동동로 167 (신정동),museum
은평구,진관사,서울특별시 은평구 진관길 73 ,temple
영등포구,이랜드크루즈(한강유람선),서울특별시 영등포구 여의동로 290 노들나루 ,experience
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
