local_name,tourist_spot,address,tourist_type
당진시,천주교 솔뫼성지,충청남도 당진시 우강면 솔뫼로 132,nature
보령시,상화원,충청남도 보령시 남포면 남포방조제로 408-52,arboretum
금산군,하늘물빛정원,충청남도 금산군 추부면 검한1길 156,park
청양군,칠갑산 장승공원,충청남도 청양군 대치면 장곡길 119-17,park
공주시,무령왕릉,충청남도 공주시 웅진동 왕릉로 35,palace
서산시,헤미읍성,충청남도 서산시 해미면 남문2로 143,palace
예산군,수덕사,충청남도 예산군 덕산면 수덕사안길 79,temple
서천군,장항스카이워크,충청남도 서천군 장항읍 장항산단로34번길 74-45,bridge
태안군,태안 신두리 해안사구,충청남도 태안군 원북면 신두리 산 263-1,nature
천안시,독립기념관,충청남도 천안시 동남구 목천읍 독립기념관로 1,museum
아산시,외암민속마을,충청남도 아산시 송악면 외암리 84,village
논산시,백제군사박물관,충청남도 논산시 부적면 충곡로 311-54,museum
부여군,백제문화단지,충청남도 부여군 규암면 백제문로 455,street
계룡시,계룡산,"충청남도 공주시,계룡시,대전에 걸쳐있는 산",mountain
홍성군,용봉산 자연휴양림,충청남도 홍성군 홍북읍 용봉산2길 87,nature
보은군,보은 법주사,충청북도 보은군 속리산면 법주사로 405 ,temple
옥천군,옥천성당,충청북도 옥천군 옥천읍 중앙로 91 ,temple
청주시,문의문화재단지,충청북도 청주시 상당구 문의면 대청호반로 721 ,village
단양군,도담삼봉,충청북도 단양군 매포읍 삼봉로 644 (매포읍),nature
음성군,설성공원,충청북도 음성군 음성읍 설성공원길 28 (음성읍),park
제천시,용추폭포 유리전망대,충청북도 제천시 의림지로 33 (모산동),experience
증평군,좌구산 자연휴양림,충청북도 증평군 증평읍 솟점말길 107 ,nature
괴산군,백마권역마을,충청북도 괴산군 사리면 사리로 517 (사리면),village
영동군,영동블루와인농원,충청북도 영동군 양산면 호탄길 53-23 ,experience
진천군,물안뜰체험관,충청북도 진천군 백곡면 백곡로 964 ,experience
충주시,능암온천랜드,충청북도 충주시 새바지길 37 능암온천랜드 ,experience
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
