local_name,tourist_spot,address,tourist_type
부천시,부천중앙공원,경기도 부천시 원미구 중동 소향로 162,park
성남시,율동공원,경기도 성남시 분당구 문정로 145,park
안양시,평촌중앙공원,경기도 안양시 동안구 관평로 149,park
양주시,북한산 송추계곡,경기도 양주시 장흥면 울대리 산66-14,valley
양평군,세미원,경기도 양평군 양서면 양수로 93,park
이천시,설봉공원,경기도 이천시 관고동 418-2,park
파주시,마장호수,경기도 파주시 광탄면 기산리 481-1,lake
구리시,건원릉,경기도 구리시 인창동 산4-2,palace
화성시,융건릉,경기도 화성시 효행로 481번길 21,palace
고양시,행주산성,경기도 고양시 덕양구 행주동 행주로15번길 89,palace
광주시,남한산성,경기도 광주시 남한산성면 산성리 661(남한산성 전승문 기준),palace
김포시,문수산성,경기도 김포시 월곶면 문수산로 102-38,palace
수원시,수원화성,경기도 수원시 팔달구 장안동,palace
연천군,연천 호로고루,경기도 연천군 장남면 원당리 1259,nature
오산시,독산성,경기도 오산시 지곶동 162-1,palace
안산시,달전망대,경기도 안산시 단원구 대부동 대부황금로 1927,park
군포시,초막골생태공원,경기도 군포시 산본동 946,park
시흥시,시흥갯골생태공원,경기도 시흥시 연성동 동서로 287,park
가평군,아침고요수목원,경기도 가평군 상면 수목원로 432,arboretum
여주시,황학산수목원,경기도 여주시 황학산수목원길 73,arboretum
평택시,평택중앙시장,"경기도 평택시 중앙시장로19,20번길",experience
남양주시,봉선사,경기도 남양주시 진접읍 봉선사길 32,temple
동두천시,자재암,경기도 동두천시 평화로2910번길 145,nature
안성시,석남사,경기도 안성시 금광면 상촌새말길 3-120,temple
의정부시,망월사,경기도 의정부시 호원동 도봉산,temple
용인시,한국민속촌,경기도 용인시 기흥구 민속촌로 90,experience
의왕시,철도박물관,경기도 의왕시 철도박물관로 142,museum
과천시,서울대공원,경기도 과천시 대공원광장로 102,experience
광명시,광명동굴,경기도 광명시 가학로85번길 142,nature
포천시,포천 허브아일랜드,경기도 포천시 신북면 청신로 947번길 35,experience
하남시,주렁주렁,경기도 하남시 하남유니온로 120,experience
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
