local_name,tourist_spot,address,tourist_type
북구,화명동 장미공원,북구 화명제3동 2280,park
사상구,삼락생태공원,사상구 삼락동 686,park
강서구,렛츠런파크,강서구 가락대로 929,park
부산진구,부산시민공원,부산진구 시민공원로 73,park
영도구,흰여울 문화마을,영도구 영썬동4가 1043,village
사하구,감천문화마을,사하구 감내1로 200,village
기장군,해동용궁사,기장군 용궁길 86,temple
연제구,연산동 고분군,연제구 연산동 산90-4,nature
해운대구,해운대 해수욕장,해운대구,ocean
수영구,광안리 해수욕장,수영구 광안2동,ocean
남구,오륙도 스카이워크,남구 오륙도로 137(용호동),experience
중구,부산항대교,중구 감만제1동,bridge
서구,송도해수욕장,서구 암남동,ocean
동래구,해양자연사박물관,동래구 우장춘로 175,museum
금정구,서동미로시장,금정구 서동로 141번길 16,experience
동구,성북고개 웹툰 이바구길,동구 범일동 1430-6,street
중구,태화강 국가정원,중구 태화강 국가정원길 154,park
북구,편백산림욕장,북구 달천동 산170,nature
남구,울산대공원,남구 대공원로 94,park
울주군,간절곶,울주군 서생면 대송리 28-1,nature
동구,일산해수욕장,동구 일산동,ocean
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
