local_name,tourist_spot,address,tourist_type
한경면,환상숲곶자왈공원,제주 제주시 한경면 녹차분재로 594-1,park
제주시,한라수목원,제주 제주시 수목원길 72,aboretum
남원읍,휴애리자연생활공원,제주 서귀포시 남원읍 신례동로 256,park
제주시,용두암,제주 제주시 용두암길 15,ocean
제주시,삼양해수욕장,제주 제주시 삼양동,ocean
조천읍,함덕해수욕장,제주 제주시 조천읍 조함해안로 525,nature
구좌읍,별방진,제주 제주시 구좌읍 하도리 3354,nature
서귀포시,정방폭포,제주 서귀포시 칠십리로214번길 37,nature
서귀포시,용머리해안,제주 서귀포시 안덕면 사계리 112-3,nature
중문,중문색달해수욕장,제주 서귀포시 색달동,ocean
구좌읍,비자림,제주 제주시 구좌읍 비자숲길 55,nature
성산읍,성산일출봉,제주 서귀포시 성산읍 성산리 1,nature
안덕면,산방산,제주 서귀포시 안덕면,nature
대정읍,송악산둘레길,제주 서귀포시 대정읍 상모리 245,nature
추자도 ,섬,제주 제주시 추자면 추자도,island
비양도,섬,제주 제주시 한림읍 한림해안로 146,island
차귀도,섬,제주 제주시 한경면 고산리,island
가파도,섬,제주 서귀포시 대정읍 가파리,island
마라도,섬,제주 서귀포시 대정읍 가파리 600,island
우도,우도 유채꽃 정보화마을,제주 제주시 우도면 연평리 1751-9,village
한림읍,금오름,제주 제주시 한림읍 금악리 산1-1,nature
애월읍,새별오름,제주 제주시 애월읍 봉성리 산59-8,nature
표선면,제주허브동산,제주 서귀포시 표선면 돈오름로 170,nature
서귀포시,오설록,제주 서귀포시 안덕면 신화역사로 15 오설록,field
